"Table 3: GDHI per head of population at current basic prices, pounds [note 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITL,ITL code,Region name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ITL3,TLG21,Telford and Wrekin,"10,249","10,312","10,514","10,347","10,318","10,753","11,312","11,826","11,782","12,302","12,810","13,032","13,318","13,641","14,046","14,462","14,743","15,155","15,848","16,101","16,096","16,443","16,950","17,250","17,896","18,825","20,279"
ITL3,TLG22,Shropshire,"10,809","11,286","11,423","11,727","12,001","12,306","12,859","13,408","13,631","14,342","14,720","15,479","15,967","15,995","16,223","16,438","16,825","17,326","18,412","18,650","18,880","19,629","20,348","20,250","20,545","21,679","23,824"
ITL3,TLG23,Stoke-on-Trent,"8,367","8,477","9,034","9,299","9,438","9,591","9,918","10,197","10,746","10,894","11,413","11,604","11,922","12,054","12,322","12,667","13,105","13,352","13,869","14,006","14,146","14,567","15,015","15,323","15,603","16,276","17,626"
ITL3,TLG24,Staffordshire CC,"9,941","10,278","10,692","11,146","11,748","11,986","12,363","12,584","12,973","13,579","14,027","14,502","14,712","14,838","14,935","15,376","16,032","16,610","17,560","17,601","18,055","18,698","19,284","19,336","19,852","20,834","22,602"
ITL2,TLG3,West Midlands,"8,951","9,149","9,536","10,055","10,429","10,622","10,829","11,182","11,227","11,529","11,844","12,082","12,436","12,619","12,760","13,109","13,494","14,036","14,595","14,861","15,048","15,414","15,884","16,079","16,641","17,519","18,900"
ITL3,TLG31,Birmingham,"8,636","8,839","9,218","9,779","10,134","10,275","10,502","10,802","10,818","11,197","11,444","11,694","11,987","12,215","12,314","12,619","12,891","13,460","13,981","14,176","14,345","14,679","15,205","15,450","16,083","16,996","18,312"
ITL3,TLG32,Solihull,"11,884","12,192","12,711","13,524","14,671","15,041","15,304","15,703","16,014","16,235","16,716","16,937","17,148","17,283","17,587","18,085","19,206","19,882","21,152","21,368","21,469","22,076","22,734","22,371","23,023","24,444","26,815"
ITL3,TLG33,Coventry,"8,913","8,900","9,316","10,056","10,447","10,743","10,854","11,391","11,234","11,460","12,104","12,372","12,807","12,945","13,072","13,486","13,877","14,358","14,759","15,181","15,508","15,913","16,361","16,514","17,182","17,851","19,057"
ITL3,TLG36,Dudley,"9,430","9,644","10,025","10,427","10,623","10,735","10,973","11,466","11,606","11,928","12,108","12,291","12,768","13,054","13,221","13,725","14,172","14,662","15,292","15,495","15,508","15,864","16,299","16,498","16,812","17,746","19,238"
ITL3,TLG37,Sandwell,"8,000","8,169","8,522","8,927","9,148","9,335","9,576","9,934","10,000","10,250","10,436","10,640","11,023","11,154","11,353","11,658","11,874","12,371","12,816","13,123","13,255","13,517","13,930","14,188","14,551","15,360","16,562"
ITL3,TLG38,Walsall,"8,599","8,900","9,203","9,514","9,737","9,994","10,141","10,373","10,391","10,633","10,964","11,201","11,615","11,789","11,984","12,319","12,796","13,389","13,874","14,221","14,626","15,066","15,281","15,521","16,081","16,816","18,199"
ITL3,TLG39,Wolverhampton,"8,765","9,007","9,419","9,753","10,094","10,274","10,460","10,728","10,833","11,081","11,456","11,747","12,147","12,210","12,283","12,517","12,836","13,293","13,812","14,208","14,429","14,776","15,272","15,621","16,210","16,958","18,174"
ITL1,TLH,East,"11,173","11,355","11,834","12,452","13,017","13,347","13,608","14,038","14,541","14,986","15,612","16,117","16,540","16,661","16,786","17,378","17,989","18,550","19,594","19,895","20,468","21,247","21,826","21,733","22,482","23,709","25,732"
ITL2,TLH2,Bedfordshire and Hertfordshire,"12,240","12,491","12,865","13,673","14,313","14,686","14,963","15,373","15,871","16,508","17,303","17,686","18,122","18,208","18,258","18,915","19,782","20,452","21,642","21,872","22,422","23,257","23,810","23,548","24,438","25,841","28,061"
ITL3,TLH21,Luton,"9,228","8,883","9,393","9,898","10,528","10,841","11,239","11,568","11,752","11,902","12,287","12,480","12,643","12,868","13,010","13,307","13,486","13,851","14,368","15,023","15,805","16,164","16,640","16,927","17,291","18,169","19,338"
ITL3,TLH24,Bedford,"11,279","11,236","11,709","12,143","12,245","12,739","13,018","13,468","14,156","14,621","15,187","15,699","16,193","16,518","16,728","16,954","17,320","17,793","18,840","19,294","19,812","20,440","20,991","21,000","21,464","22,533","24,378"
ITL3,TLH25,Central Bedfordshire,"11,886","11,896","12,477","13,075","13,308","13,861","14,125","14,478","15,052","15,491","16,001","16,435","16,788","17,259","17,301","17,858","18,729","19,042","19,991","20,454","21,032","21,818","22,248","22,133","22,583","23,778","25,673"
ITL3,TLH26,North and East Hertfordshire,"12,203","12,613","12,897","13,775","14,504","14,827","15,057","15,418","15,838","16,522","17,376","17,777","18,364","18,325","18,365","19,150","20,152","20,925","22,188","22,319","22,735","23,517","24,205","23,922","24,556","25,861","28,008"
ITL3,TLH27,South West Hertfordshire,"13,757","14,262","14,557","15,604","16,501","16,828","17,107","17,604","18,203","19,111","20,197","20,562","20,970","20,904","20,903","21,729","22,872","23,790","25,338","25,362","25,955","27,113","27,647","27,066","28,776","30,717","33,729"
ITL2,TLH3,Essex,"11,410","11,536","12,180","12,645","13,241","13,586","13,886","14,327","14,819","15,201","15,744","16,296","16,761","16,761","16,937","17,473","17,963","18,435","19,560","20,065","20,831","21,744","22,302","22,270","23,021","24,217","26,236"
ITL3,TLH31,Southend-on-Sea,"10,758","11,000","11,615","12,238","12,974","13,406","13,790","13,893","14,201","14,643","15,077","15,334","15,875","16,159","16,319","16,678","17,279","17,773","18,713","19,143","19,805","20,510","20,945","21,293","22,168","23,277","25,329"
ITL3,TLH32,Thurrock,"9,972","10,028","10,302","10,419","10,872","11,522","12,040","12,327","12,758","13,117","13,678","14,145","14,519","14,710","14,854","15,219","15,681","16,290","16,980","17,684","18,185","18,921","19,610","19,941","20,586","21,560","23,074"
ITL3,TLH34,Essex Haven Gateway,"9,896","10,078","10,779","11,215","11,805","12,206","12,463","12,966","13,421","13,757","14,286","14,874","15,435","15,427","15,642","16,188","16,734","17,174","18,028","18,371","18,928","19,603","20,168","20,272","20,946","22,040","23,902"
ITL3,TLH35,West Essex,"13,130","13,292","13,918","14,549","15,079","15,329","15,577","16,230","16,965","17,372","18,020","18,666","18,824","18,694","18,960","19,621","20,038","20,447","22,525","22,787","24,322","25,788","26,112","25,496","26,453","27,961","30,430"
ITL3,TLH36,Heart of Essex,"13,322","13,358","14,136","14,666","15,256","15,420","15,658","16,055","16,565","17,011","17,597","18,285","18,749","18,595","18,731","19,342","20,071","20,617","21,808","22,696","23,404","24,337","25,068","24,943","25,774","26,961","29,217"
